fonte,sentenca
AdoroCinema,"Alegria e Tristeza  A Pixar conseguiu, mais uma vez."
AdoroCinema,"Ao longo dos anos, o estúdio fez fama graças à capacidade de criar universos bastante criativos a partir de situações inusitadas."
AdoroCinema,"Assim foi com Toy Story (o mundo dos brinquedos), Procurando Nemo (a vida no aquário), Monstros S.A. (Boo como ameaça aos monstros) e outros tantos."
AdoroCinema,"Após um período de vacas magras, em que até fez sucesso mas sem a mesma originalidade, o estúdio retorna à sua melhor forma em Divertida Mente."
AdoroCinema,Nenhum outro filme exibido no Festival de Cannes foi tão aplaudido após a sessão quanto a animação.
AdoroCinema,"O que mais impressiona no longa-metragem é o brilhantismo do roteiro - escrito a seis mãos por Pete Docter, Meg Le Fauvee Josh Cooley, por um grande motivo: desta vez, os conceitos adotados pelo filme são totalmente abstratos."
AdoroCinema,"Afinal de contas, a história gira em torno da mente de uma garota, Riley, tendo como grandes protagonistas as cinco emoções responsáveis por conduzir sua vida: Alegria, Tristeza, Raiva, Medo e Nojinho."
AdoroCinema,"Cada emoção possui cor e temperamentos próprios, claramente infantilizados para facilitar a compreensão do público menor, mas ainda assim de uma profundidade impressionante."
AdoroCinema,"Ou seja, além de desenvolver a personalidade de cada uma delas, a Pixar ainda teve que buscar meios para tornar concreto e viável algo que não é palpável, usando para tanto muita criatividade."
AdoroCinema,"Na verdade, há muito de psicologia em Divertida Mente."
AdoroCinema,"Vários são os conceitos adaptados nesta grande alegoria emocional, como o porquê de se esquecer fatos antigos de sua vida, o que define sua personalidade, questões do inconsciente, a formação dos sonhos (em uma hilária associação!)"
AdoroCinema,e até mesmo depressão.
AdoroCinema,"Sim, depressão!"
AdoroCinema,"Por mais que o mal do século jamais seja citado nominalmente no longa-metragem, ele é claramente apresentado e explicado, dentro do contexto do filme."
AdoroCinema,"Mais ainda: Divertida Mente evita a vilanização da tristeza e oferece uma mensagem bastante importante sobre como lidar com ela em seu cotidiano, ao invés de afugentá-la a qualquer custo – o que, se for analisar mais à fundo, ainda por cima é uma crítica indireta à indústria de antidepressivos e remédios do tipo, que tentam retrair as emoções para que a vida seja mais “controlável”."
AdoroCinema,"Chorar, como o filme tão bem demonstra, às vezes é necessário – e Divertida Mente traz momentos em que realmente te leva às lágrimas."
AdoroCinema,"Por mais que todas as cinco emoções tenham momentos de brilho, o foco central fica na dupla Alegria e Tristeza, dubladas com maestria por Amy Poehlere Phyllis Smith, respectivamente."
AdoroCinema,"Aparentemente antagônicas, elas precisam se unir quando são acidentalmente expelidas da sala de controle e buscam, a todo custo, retornar ao local."
AdoroCinema,"É neste momento que a vida de Riley entra em parafuso, já que as três emoções restantes não conseguem manter a normalidade."
AdoroCinema,"Por outro lado, Alegria e Tristeza percorrem toda a estrutura do cérebro humano, revelando analogias impressionantes com a vida real."
AdoroCinema,"Divertida Mente é repleto de simbolismos muito bem sacados e, por mais que certas situações passem por um claro processo de infantilização, elas são muito menores em relação ao que o filme oferece."
AdoroCinema,"Provavelmente, este é um filme que será bem mais apreciado por adultos do que crianças, por mais que os pequenos também tenham condições de se divertir bastante."
AdoroCinema,"No mais, é só aproveitar as diversas situações que levam àquelas gargalhadas gostosas, não apenas pela piada bem feita mas também pela surpresa que traz e a inteligência com a qual foi concebida."
AdoroCinema,"Aqui vão alguns destaques: preste atenção nas capas de jornal que a Raiva volta e meia segura, elas sempre têm a ver com o momento de vida de Riley no melhor estilo de ser do personagem; a sequência de abertura, com o nascimento de Riley, não apenas dimensiona toda a estrutura das emoções como, conceitualmente, remete ao início de Up - Altas Aventuras (não por acaso, também dirigido por Pete Docter); repare nos detalhes das ilhas existentes, cada uma delas traz vários símbolos interessantes; se possível, veja em 3D: não propriamente devido ao uso da terceira dimensão, mas por uma brincadeira muito bem inserida relacionada às animações de antigamente; e aproveite as breves esquetes que surgem durante os créditos finais, simplesmente maravilhosas."
AdoroCinema,"Extremamente ousado, Divertida Mente é daqueles filmes que se assiste com gosto."
